IdPoi,nombre,localizacion,fbd,IdPueblo,IdUsuario,etiquetas
131," La Fontanina",0xE6100000010C50ABE80FCDCC18C0BE1589096ADC4440,2012-02-17 09:21:45.280,27,7830,NULL
132," El Molino de viento",0xE6100000010C501BD5E940C618C08ECBB8A981DC4440,2012-02-17 09:23:46.867,27,7830,NULL
133,"Fuente ""La peñona""",0xE6100000010C554B3ACAC1CC18C0F3E670ADF6DC4440,2012-02-17 09:25:19.467,27,7830,NULL
134,fuente ferrada,0xE6100000010C1901158E20D519C0A3C85A43A9E54440,2012-02-17 10:35:39.240,43,NULL,fuente
135,fuente de la era,0xE6100000010CABB35A608FD919C0757808E3A7E54440,2012-02-17 10:37:58.560,43,NULL,fuente
136,Merendero,0xE6100000010CADA6EB89AEEB19C084674293C4E64440,2012-02-17 10:42:31.497,43,NULL,Merendero
137,Presa Ruiney,0xE6100000010C075F984C15EC19C09B728577B9E64440,2012-02-17 10:44:47.233,43,NULL,zona de baño
138,Peñas de Fonfría,0xE6100000010CBAF42F49659A18C099107349D5D24440,2012-02-17 14:29:05.220,42,4609,NULL
139,Nave Multiusos,0xE6100000010C49D9226937AA18C09D7FBBECD7D54440,2012-02-17 14:30:57.773,42,4609,NULL
140,Balseta del Campillo,0xE6100000010C60CB2BD7DB9618C01B12F758FAD64440,2012-02-17 15:43:18.503,42,4609,NULL
141,Balseta de la Llama,0xE6100000010C14E7A8A3E3CA18C0508BC1C3B4D74440,2012-02-17 15:44:43.927,42,4609,NULL
142,Balseta de Valdelvino,0xE6100000010C00C45DBD8ABC18C00ADB4FC6F8D64440,2012-02-17 15:45:57.053,42,4609,NULL
143,"Arroyo ""Las Peñicas""",0xE6100000010C7026A60BB1CA18C071218FE046DC4440,2012-02-17 16:04:43.067,27,7830,NULL
144,Buchina de la Medorra,0xE6100000010CE78D93C2BC9718C099654F029BD54440,2012-02-17 19:30:51.973,42,4609,NULL
145,Veiga el Ramayal,0xE6100000010C5E807D74EAAA18C068226C787AD54440,2012-02-17 19:33:23.987,42,4609,Galaza
146,Fuente Romana,0xE6100000010CA794D74AE8FE19C0D04543C6A3F04440,2012-02-18 08:34:47.740,61,107,fuente
147,Antiguo molino,0xE6100000010CDE57E542E5DF18C014B1886187DD4440,2012-02-18 08:37:03.117,55,107,molino
148,Fuente San Pedro,0xE6100000010C0E846401138819C0280EA0DFF7F34440,2012-02-18 08:41:12.827,48,107,fuente
149,Molino de agua,0xE6100000010CFA42C879FFDF19C0AE9D280989D84440,2012-02-18 08:45:03.707,46,107,molino
150,Merendero,0xE6100000010CC3D8429083E219C0919BE1067CD84440,2012-02-18 08:46:25.433,46,107,merendero
151,Cuevas de Rotacueva,0xE6100000010C3FA88B14CAA218C0E04DB7EC10D74440,2012-02-18 16:43:41.380,42,4609,NULL
152,Balseta de las Llameras,0xE6100000010C8A3F8A3A739F18C0F6251B0FB6D84440,2012-02-18 16:45:21.330,42,4609,NULL
